"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
1,2,"WNT5B","FZD1",2.12931213446845e-06,0,"WNT5B_FZD1","WNT5B - FZD1","ncWNT","Secreted Signaling","KEGG: hsa04310"
1,2,"WNT5B","FZD6",1.68206053536566e-05,0,"WNT5B_FZD6","WNT5B - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
1,2,"WNT11","FZD1",1.06466047269867e-06,0,"WNT11_FZD1","WNT11 - FZD1","ncWNT","Secreted Signaling","KEGG: hsa04310"
1,2,"WNT11","FZD6",8.41057759831535e-06,0,"WNT11_FZD6","WNT11 - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
1,2,"NRG1","ERBB3",0.00145716598982984,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
1,2,"NRG1","ERBB2_ERBB3",0.00192053857154936,0,"NRG1_ERBB2_ERBB3","NRG1 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
1,2,"NRG2","ERBB3",0.000279848968428202,0,"NRG2_ERBB3","NRG2 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
1,2,"NRG2","ERBB2_ERBB3",0.000369380287144092,0,"NRG2_ERBB2_ERBB3","NRG2 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
1,2,"MIF","CD74_CD44",0.0115097379329986,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
1,2,"ANGPTL4","SDC1",5.8012751405858e-05,0.04,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
1,2,"ANGPTL4","SDC3",1.06466443764784e-07,0.04,"ANGPTL4_SDC3","ANGPTL4 - SDC3","ANGPTL","Secreted Signaling","PMID: 29017031"
1,2,"ANGPTL4","SDC4",1.74895741726946e-05,0.04,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
1,2,"GAS6","TYRO3",0.0016024640629447,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848"
1,2,"GRN","SORT1",0.00885915733134967,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
