FeatureID,FeatureName,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value
ENSG00000169035,KLK7,2.765153732806461,-3.759926602929304,1.50829758780879e-24,37.55930424077344,3.759926602929304,1.50829758780879e-24
ENSG00000188505,NCCRP1,2.102882344949111,-3.127296565931233,2.4241408344803547e-24,18.434146830322113,3.127296565931233,2.4241408344803547e-24
ENSG00000179477,ALOX12B,0.8670975902874581,-3.4233262020620954,1.547108937318152e-23,9.371830993002495,3.4233262020620954,1.547108937318152e-23
ENSG00000133710,SPINK5,2.526189829971335,-3.214180196311221,1.592329001159444e-23,23.508755778146043,3.214180196311221,1.592329001159444e-23
ENSG00000178372,CALML5,51.52061745125322,-3.1017294839947622,6.438116410699197e-23,442.49150419649413,3.1017294839947622,6.438116410699381e-23
ENSG00000136695,IL36RN,1.0855788728795737,-3.3822222787437797,5.027249148204768e-22,11.387278518379375,3.3822222787437797,5.027249148204768e-22
ENSG00000159337,PLA2G4D,0.9080628307734797,-3.1757787256823016,5.027249148204768e-22,8.26333485404521,3.1757787256823016,5.027249148204768e-22
ENSG00000188508,KRTDAP,60.744624100689094,-2.7867070565871614,5.027249148204768e-22,419.36424384279445,2.7867070565871614,5.027249148204768e-22
ENSG00000125780,TGM3,0.4711002655892489,-3.41606363378851,5.027249148204768e-22,5.09620302845297,3.41606363378851,5.027249148204768e-22
ENSG00000057149,SERPINB3,2.369156408108252,-2.902472458788014,5.070663226109837e-22,17.764730330821934,2.902472458788014,5.070663226109837e-22
ENSG00000092295,TGM1,2.642258011348396,-2.6699332301699688,6.894632120992739e-22,16.857778944402337,2.6699332301699688,6.894632120992739e-22
ENSG00000134765,DSC1,7.025538743352712,-2.8906434514696153,1.1805266721923769e-21,52.16410077287948,2.8906434514696153,1.1805266721924104e-21
ENSG00000171954,CYP4F22,0.9763382315835158,-2.9705225968019042,1.4573764812165966e-21,7.701888757690223,2.9705225968019042,1.4573764812165966e-21
ENSG00000169469,SPRR1B,50.5306241395077,-2.5586863020689243,4.4627083176378394e-21,297.85435214319756,2.5586863020689243,4.4627083176378394e-21
ENSG00000169583,CLIC3,2.205295446164165,-3.082922487775207,4.75935398121718e-21,18.74366198600499,3.082922487775207,4.75935398121718e-21
ENSG00000105427,CNFN,5.653203187070987,-3.2068264067183034,1.4686416178247936e-20,52.27207117602467,3.2068264067183034,1.4686416178247936e-20
ENSG00000189001,SBSN,27.665192408226616,-2.306842501001146,3.8868440305486585e-20,136.96405540311173,2.306842501001146,3.886844030548051e-20
ENSG00000170426,SDR9C7,1.2084745943376385,-2.6402611235532802,4.577271214215898e-20,7.572324273915995,2.6402611235532802,4.577271214215898e-20
ENSG00000166535,A2ML1,1.0650962526365628,-2.732368799569306,5.785203478692726e-20,7.118848580706197,2.732368799569306,5.785203478692726e-20
ENSG00000204421,LY6G6C,0.9831657716645195,-3.3593201167502067,8.429056459392253e-20,10.156415922524209,3.3593201167502067,8.429056459392253e-20
ENSG00000118402,ELOVL4,0.887580210530469,-2.865649072002746,1.14138279733423e-19,6.514214323093132,2.865649072002746,1.14138279733423e-19
ENSG00000283992,SLURP2,2.7378435724824466,-2.7290044639782707,1.2235087105386543e-19,18.196611943402694,2.7290044639782707,1.2235087105386543e-19
ENSG00000170423,KRT78,2.676395711753414,-2.7910337573293242,1.6348822257848075e-19,18.570909340972687,2.7910337573293242,1.6348822257848075e-19
ENSG00000168350,DEGS2,1.2972326153906855,-2.7378745347073354,2.9606387054878327e-19,8.69521646662597,2.7378745347073354,2.9606387054878327e-19
ENSG00000186806,VSIG10L,0.3959973246982092,-3.1178742877379007,2.8431683198165218e-18,3.491043035027811,3.1178742877379007,2.8431683198165218e-18
ENSG00000211445,GPX3,2.6832232518344177,-2.6147848970218917,3.0523708433787573e-18,16.476283519956,2.6147848970218917,3.0523708433787573e-18
ENSG00000121552,CSTA,43.96253058158223,-2.1632730925252757,3.4284707338240515e-18,197.01719363246644,2.1632730925252757,3.4284707338240515e-18
ENSG00000135218,CD36,3.4615628210688287,-2.6324673283998896,3.898157166843563e-18,21.507704306521855,2.6324673283998896,3.898157166843563e-18
ENSG00000124107,SLPI,11.927712521513302,-2.073226685090377,7.037950846953724e-18,50.23502957001875,2.073226685090377,7.037950846955125e-18
ENSG00000167769,ACER1,0.24579144291612987,-3.7366161874484156,1.0668548291581336e-17,3.361478551253583,3.7366161874484156,1.0668548291581336e-17
ENSG00000149809,TM7SF2,0.730546788667386,-2.9076571192923186,1.2597528483612578e-17,5.52808464103373,2.9076571192923186,1.2597528483612578e-17
ENSG00000105141,CASP14,10.54172188506957,-3.2686854507505547,3.8754566743493385e-17,101.69372370901633,3.2686854507505547,3.8754566743491733e-17
ENSG00000196407,THEM5,2.0414344842200784,-2.4625157799661777,4.4337677523705106e-17,11.286506142110532,2.4625157799661777,4.4337677523705106e-17
ENSG00000126233,SLURP1,1.686402400007891,-3.476308867457682,5.928550355687742e-17,18.844434362273834,3.476308867457682,5.928550355687742e-17
ENSG00000163207,IVL,29.378904968558523,-2.156289591269214,6.624448568692177e-17,131.03288125700263,2.156289591269214,6.624448568691801e-17
ENSG00000175121,WFDC5,1.3245427757147,-2.416741751329028,1.6741800431729853e-16,7.104452526953504,2.416741751329028,1.6741800431730804e-16
ENSG00000166634,SERPINB12,4.451556132814352,-2.4024852935885392,1.693374194170528e-16,23.57353802003316,2.4024852935885392,1.693374194170528e-16
