FeatureID,FeatureName,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value
ENSG00000188505,NCCRP1,2.4541021857775305,-2.305493262774281,5.680096005504122e-26,12.153283595858232,2.305493262774281,5.680096005504122e-26
ENSG00000189001,SBSN,22.00247744625059,-2.0766805098032908,1.764333210352519e-25,92.8390728350865,2.0766805098032908,1.764333210351767e-25
ENSG00000124107,SLPI,5.546798703768139,-2.0676710697273144,1.5123466627454678e-24,23.271446391186615,2.0676710697273144,1.5123466627461555e-24
ENSG00000163207,IVL,23.786319465159853,-2.269690120900301,7.20867686363996e-24,114.73214593230331,2.269690120900301,7.20867686363996e-24
ENSG00000121552,CSTA,16.67733958506881,-1.8825231826864641,4.3928694766591277e-23,61.511919488481055,1.8825231826864641,4.392869476660626e-23
ENSG00000171954,CYP4F22,1.2244122733341658,-2.293350907254421,1.1242065885365044e-22,6.023008595829125,2.293350907254421,1.1242065885365044e-22
ENSG00000169469,SPRR1B,49.34064803190137,-2.0002485952060622,2.5240209130574598e-22,197.4291802502813,2.0002485952060622,2.524020913056814e-22
ENSG00000134765,DSC1,14.819610618630765,-1.8794437322518212,2.9767513406178105e-22,54.54496653569207,1.8794437322518212,2.9767513406174725e-22
ENSG00000170426,SDR9C7,1.5991246500872942,-2.0628955977936387,4.064603990365367e-22,6.698786942289026,2.0628955977936387,4.064603990365367e-22
ENSG00000088002,SULT2B1,2.807704006093863,-2.0026659628907773,1.592282843098931e-21,11.26833576120836,2.0026659628907773,1.592282843098931e-21
ENSG00000197191,CYSRT1,0.9816408743110122,-2.0592990393030717,1.5955413508932234e-21,4.108303280859403,2.0592990393030717,1.5955413508932234e-21
ENSG00000167767,KRT80,4.517659077474336,-1.9408466078778406,2.2487083774632606e-21,17.361067519767477,1.9408466078778406,2.2487083774632606e-21
ENSG00000136695,IL36RN,1.3774638075009367,-2.341731155945758,2.2846967783706773e-21,7.004496194258982,2.341731155945758,2.2846967783706773e-21
ENSG00000170423,KRT78,1.0133067089662062,-2.531316033424893,3.761090411775843e-21,5.883562270369144,2.531316033424893,3.761090411775843e-21
ENSG00000204539,CDSN,3.514907646726528,-2.106113530837129,1.2201541921727723e-20,15.151379593247796,2.106113530837129,1.2201541921727723e-20
ENSG00000169583,CLIC3,5.061255905721832,-1.8424382954114553,1.654783468788937e-20,18.16556555126736,1.8424382954114553,1.654783468788984e-20
ENSG00000092295,TGM1,1.804952575346055,-1.9464512122327577,1.654783468788937e-20,6.972316272998986,1.9464512122327577,1.654783468788984e-20
ENSG00000204421,LY6G6C,1.9685593877312235,-2.05270061859699,5.978439410839551e-20,8.18442664045881,2.05270061859699,5.978439410839551e-20
ENSG00000179477,ALOX12B,1.4196849203745285,-2.172707327425729,1.0783252263228339e-19,6.419894291369067,2.172707327425729,1.0783252263228339e-19
ENSG00000062282,DGAT2,0.543596828247496,-2.4493754863898727,2.658730119886129e-19,2.992732677179565,2.4493754863898727,2.658730119886129e-19
ENSG00000143797,MBOAT2,1.4777389505757175,-1.832664325810587,8.378722208600492e-19,5.277507086639233,1.832664325810587,8.378722208600492e-19
ENSG00000178372,CALML5,29.718385823899517,-2.3164778714859926,1.3450784932906923e-18,148.06518103744847,2.3164778714859926,1.3450784932906923e-18
ENSG00000105427,CNFN,19.04172190598996,-2.004705295922542,1.8110430054945638e-18,76.43803963290888,2.004705295922542,1.81104300549513e-18
ENSG00000168350,DEGS2,2.074112169915203,-1.8491752176408613,1.8441020931134464e-18,7.487195013158911,1.8491752176408613,1.8441020931134464e-18
ENSG00000203786,KPRP,1.3669085292825385,-2.200415263495685,2.798917075174999e-18,6.301901246749083,2.200415263495685,2.798917075174999e-18
ENSG00000132746,ALDH3B2,5.800125381009691,-1.6045715436973786,2.798917075174999e-18,17.650686811107434,1.6045715436973786,2.798917075174999e-18
ENSG00000167914,GSDMA,1.4091296421561306,-2.100404755219823,2.798917075174999e-18,6.060551837299119,2.100404755219823,2.798917075174999e-18
ENSG00000181458,TMEM45A,16.79344764547119,-1.7557185500931913,3.2260099950188955e-18,56.72783786116175,1.7557185500931913,3.2260099950186205e-18
ENSG00000105131,EPHX3,0.8655328139086345,-2.0555322093801522,1.048289111885488e-17,3.6148778215394746,2.0555322093801522,1.048289111885488e-17
ENSG00000159337,PLA2G4D,0.569985023793491,-2.329067869663354,1.0936878658663703e-17,2.8854662729795804,2.329067869663354,1.0936878658663703e-17
ENSG00000134317,GRHL1,2.860480397185853,-1.7253886684350301,1.226895655048809e-17,9.471623490858622,1.7253886684350301,1.226895655048809e-17
ENSG00000170786,SDR16C5,1.7891196580184578,-1.7911393335393093,2.609122261381019e-17,6.2053614829690975,1.7911393335393093,2.609122261381019e-17
ENSG00000163202,LCE3D,6.470385547877963,-2.2079820340729452,3.680749989942459e-17,29.91660013137565,2.2079820340729452,3.6807499899422503e-17
ENSG00000136688,IL36G,0.9288644832190224,-2.2455031530242224,4.011568418651334e-17,4.424739173249357,2.2455031530242224,4.011568418651334e-17
ENSG00000139988,RDH12,1.092471295604191,-1.8324460178736197,1.2716961207598332e-16,3.904497112879432,1.8324460178736197,1.2716961207598332e-16
ENSG00000272398,CD24,2.6229866372718984,-1.6452507812784714,1.3201666629892647e-16,8.216606561718805,1.6452507812784714,1.3201666629892647e-16
ENSG00000184459,BPIFC,0.7916458663798486,-1.9941593579916455,1.4514243037321863e-16,3.169722244109539,1.9941593579916455,1.4514243037321863e-16
ENSG00000189143,CLDN4,0.9710855960926142,-1.8492812757895465,2.8545585597813133e-16,3.5129747375494893,1.8492812757895465,2.8545585597813133e-16
ENSG00000118402,ELOVL4,1.4619060332481204,-1.8422789851835062,6.10013940801025e-16,5.256053805799236,1.8422789851835062,6.10013940801025e-16
ENSG00000159516,SPRR2G,4.844872702244674,-2.38864304602769,6.955223289724677e-16,25.39532119434631,2.38864304602769,6.955223289724479e-16
ENSG00000169509,CRCT1,2.274662456064765,-2.0355800836499913,8.070925439053922e-16,9.342903805818642,2.0355800836499913,8.070925439053922e-16
ENSG00000137193,PIM1,2.3327164862659537,-1.6370893062691003,9.911607912633662e-16,7.267298884548944,1.6370893062691003,9.911607912633942e-16
ENSG00000147676,MAL2,2.5121562159787194,-1.5979561149250436,1.2554564329832165e-15,7.6159146981988926,1.5979561149250436,1.2554564329832165e-15
ENSG00000151715,TMEM45B,0.7969235054890476,-1.830465653745379,1.451392624510119e-15,2.847923031509586,1.830465653745379,1.451392624510119e-15
ENSG00000144452,ABCA12,3.6362933462381046,-1.519695348742538,1.6638129443815143e-15,10.437021128658483,1.519695348742538,1.6638129443814906e-15
ENSG00000158825,CDA,0.8602551747994355,-1.9276535724398705,2.0574996487828504e-15,3.287715288729522,1.9276535724398705,2.0574996487828504e-15
ENSG00000186844,LCE1A,0.8496998965810375,-2.1771161780439723,2.6364816311112552e-15,3.8615905511994386,2.1771161780439723,2.6364816311112552e-15
ENSG00000283992,SLURP2,2.184942591208382,-2.1988180857240933,3.0949947343845396e-15,10.05086207353854,2.1988180857240933,3.0949947343845396e-15
ENSG00000133710,SPINK5,3.298524443249369,-2.046541825718214,3.5508365992105366e-15,13.644286614238016,2.046541825718214,3.5508365992105366e-15
ENSG00000088726,TMEM40,1.5938470109780951,-1.7742901850736819,4.379073235158858e-15,5.465223293989205,1.7742901850736819,4.379073235158858e-15
ENSG00000188508,KRTDAP,65.37411564564789,-1.871987283041423,4.522364844964384e-15,239.3274377307952,1.871987283041423,4.522364844965412e-15
ENSG00000119411,BSPRY,0.6649825277590729,-1.976940550254849,4.7962416896098875e-15,2.633390223109617,1.976940550254849,4.7962416896098875e-15
ENSG00000124429,POF1B,1.2138569951157678,-2.2361044550219735,5.264715716663339e-15,5.738752624699165,2.2361044550219735,5.264715716663339e-15
