FeatureID,FeatureName,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value
ENSG00000184357,HIST1H1B,30.805860845488276,1.793870903246487,5.700150899501854e-14,8.882365165410967,-1.793870903246487,5.700150899502178e-14
ENSG00000124575,HIST1H1D,11.96185022191832,1.8701827121795187,1.1396281320059202e-13,3.267904201861085,-1.8701827121795187,1.1396281320059202e-13
ENSG00000125148,MT2A,25.500862202548472,1.9212091866322965,3.083074966108226e-13,6.730155129383513,-1.9212091866322965,3.083074966108007e-13
ENSG00000159403,C1R,16.584094856757762,1.826739857083366,5.023760563467483e-13,4.671519442748555,-1.826739857083366,5.023760563467483e-13
ENSG00000182871,COL18A1,15.375620262420124,1.8283070879817651,8.198043825427874e-13,4.326014152683947,-1.8283070879817651,8.198043825427874e-13
ENSG00000182326,C1S,11.852609580622262,1.847473417119488,1.29440149724702e-12,3.289498282490123,-1.847473417119488,1.2944014972469465e-12
ENSG00000197457,STMN3,2.9017045344265333,2.151210146533181,1.3079919437254365e-12,0.6478224188711402,-2.151210146533181,1.3079919437254365e-12
ENSG00000050165,DKK3,4.137489289088186,2.136424871224271,2.171089309205645e-12,0.9357434939249804,-2.136424871224271,2.171089309205645e-12
ENSG00000145824,CXCL14,173.08496859352246,1.6653638619900137,2.4931801760060243e-12,54.582637803331735,-1.6653638619900137,2.4931801760060243e-12
ENSG00000155254,MARVELD1,3.3454946396917675,2.03098436665599,2.9836023481663123e-12,0.8133770370270983,-2.03098436665599,2.9836023481663123e-12
ENSG00000169715,MT1E,7.728775371696083,1.7348369576326295,4.389727215962337e-12,2.3177646541834127,-1.7348369576326295,4.389727215962337e-12
ENSG00000244405,ETV5,1.7341951805749163,2.3950866473078842,5.074143939084537e-12,0.3239112094355701,-2.3950866473078842,5.074143939084537e-12
ENSG00000166147,FBN1,7.032366283433715,2.1659394590972214,7.479516139857135e-12,1.5619718321670826,-2.1659394590972214,7.479516139857135e-12
ENSG00000132470,ITGB4,20.04565767782659,1.6083723617728212,7.479516139857135e-12,6.5717985381039,-1.6083723617728212,7.479516139857135e-12
ENSG00000178999,AURKB,2.4988796696473203,2.0688919880023273,9.71818568902148e-12,0.5902382038603722,-2.0688919880023273,9.71818568902148e-12
ENSG00000038427,VCAN,3.99411094738711,2.418612302787195,1.0282000300710195e-11,0.7413967682636382,-2.418612302787195,1.0282000300710195e-11
ENSG00000102265,TIMP1,6.540783397601456,1.818454916100916,1.2151802881503592e-11,1.8498929072209227,-1.818454916100916,1.2151802881503592e-11
ENSG00000186340,THBS2,19.601867572561357,1.7467992831439147,1.3702071033433476e-11,5.837599796716608,-1.7467992831439147,1.3702071033433476e-11
ENSG00000171603,CLSTN1,12.002815462404342,1.6306934712254944,1.6027099938126882e-11,3.8725384594741494,-1.6306934712254944,1.6027099938126882e-11
ENSG00000235162,C12orf75,5.414239284235861,1.7371114012338091,1.6435831271335866e-11,1.6195560471778505,-1.7371114012338091,1.6435831271335866e-11
ENSG00000090382,LYZ,16.358786034084645,2.032368287431665,1.6749091972251793e-11,3.994904916372031,-2.032368287431665,1.6749091972251793e-11
ENSG00000138180,CEP55,1.4542660372537684,2.1739090565775117,2.1033616719664427e-11,0.3167131825592241,-2.1739090565775117,2.1033616719664427e-11
ENSG00000187837,HIST1H1C,27.808570749927693,1.5523907764638754,2.4911256084419396e-11,9.479801396147685,-1.5523907764638754,2.4911256084413735e-11
ENSG00000011465,DCN,22.65377798876997,1.8912073370313007,2.4985011594678267e-11,6.10392679114141,-1.8912073370313007,2.4985011594678267e-11
ENSG00000180447,GAS1,3.0519104162086124,2.003729634000444,2.586510311654578e-11,0.7557928220163302,-2.003729634000444,2.586510311654578e-11
ENSG00000141753,IGFBP4,11.797989259974234,2.200237056119221,2.709609919348254e-11,2.562497567979177,-2.200237056119221,2.709609919348254e-11
ENSG00000149257,SERPINH1,5.591755326341954,1.7457942708839131,2.8077920895612495e-11,1.6627442084359265,-1.7457942708839131,2.8077920895612495e-11
ENSG00000164692,COL1A2,103.84688463206487,1.8614726402165518,2.874550343027431e-11,28.583364725969975,-1.8614726402165518,2.8745503430272674e-11
ENSG00000142156,COL6A1,40.41220973946035,1.7526382380359347,5.1681142402471205e-11,11.99191277599244,-1.7526382380359347,5.1681142402475606e-11
ENSG00000114346,ECT2,3.249909078557717,1.8563563378494639,5.6099405135928346e-11,0.8925553326669043,-1.8563563378494639,5.6099405135928346e-11
ENSG00000197061,HIST1H4C,3.5708034623648865,1.7482648024145395,5.990431764999289e-11,1.0581099508228624,-1.7482648024145395,5.990431764999289e-11
ENSG00000137804,NUSAP1,6.936780722299665,1.6382747250893015,5.990431764999289e-11,2.224190304790915,-1.6382747250893015,5.990431764999289e-11
ENSG00000130598,TNNI2,4.642727255082453,1.8763745358808128,6.265459811046277e-11,1.2596547033605505,-1.8763745358808128,6.265459811046277e-11
ENSG00000104147,OIP5,1.4474384971727647,2.1354428306748643,6.693713763583405e-11,0.3239112094355701,-2.1354428306748643,6.693713763583405e-11
ENSG00000110077,MS4A6A,4.3764531919233125,1.9469439054512392,6.783883122385096e-11,1.1300902195863223,-1.9469439054512392,6.783883122385096e-11
ENSG00000120708,TGFBI,4.813415757107543,1.7804892260276086,6.813069883450222e-11,1.3964172140111244,-1.7804892260276086,6.813069883450222e-11
ENSG00000154096,THY1,4.123834208926179,2.1206923793095425,7.396732511014739e-11,0.9429415208013263,-2.1206923793095425,7.396732511014739e-11
ENSG00000171345,KRT19,3.4479077409068215,2.2779321211207395,7.867258660756674e-11,0.7054066338819083,-2.2779321211207395,7.867258660756674e-11
ENSG00000041982,TNC,20.489447783091826,2.0268547827512906,8.001206745434922e-11,5.0242227596895095,-2.0268547827512906,8.001206745434012e-11
ENSG00000111247,RAD51AP1,0.9968208518265267,2.3166125892847993,9.169556594638677e-11,0.19434672566134206,-2.3166125892847993,9.169556594638677e-11
ENSG00000113140,SPARC,70.26904251368913,1.6565496489952816,1.0347256026774029e-10,22.29228923604357,-1.6565496489952816,1.0347256026773e-10
ENSG00000101160,CTSZ,9.831657716645195,1.7167100685396943,1.2194893440070898e-10,2.987181153683591,-1.7167100685396943,1.2194893440070898e-10
ENSG00000142173,COL6A2,30.368898280304045,1.794447096968098,1.3714285650548575e-10,8.752800681636739,-1.794447096968098,1.3714285650548575e-10
ENSG00000145423,SFRP2,16.78892105918787,2.0933407439400846,1.4317226057972604e-10,3.930122674484917,-2.0933407439400846,1.4317226057972604e-10
ENSG00000240065,PSMB9,12.81529273204377,1.5922621939822816,1.8068687578623893e-10,4.246835857044141,-1.5922621939822816,1.8068687578623893e-10
ENSG00000084636,COL16A1,6.861677781408625,1.7901852995333971,2.170701558631884e-10,1.9794573909951507,-1.7901852995333971,2.170701558631884e-10
ENSG00000148053,NTRK2,2.3964665684322664,2.098324566281088,2.2085622644439098e-10,0.5542480694786421,-2.098324566281088,2.2085622644439098e-10
ENSG00000168542,COL3A1,138.98140588890942,1.7617990829849788,2.2279943785034268e-10,40.99276306079048,-1.7617990829849788,2.2279943785034268e-10
ENSG00000163359,COL6A3,21.097098850301148,1.9163823169565526,2.2279943785034268e-10,5.585668856044498,-1.9163823169565526,2.2279943785034268e-10
ENSG00000089159,PXN,4.212592229979226,1.6643767338941016,2.2279943785034268e-10,1.3244369452476645,-1.6643767338941016,2.2279943785034268e-10
ENSG00000107317,PTGDS,11.333716534465989,2.126276497581244,2.2286707969464751e-10,2.591289675484561,-2.126276497581244,2.2286707969464751e-10
ENSG00000143387,CTSK,4.533486613786395,1.8502945850622623,2.56177077506025e-10,1.2524566764842044,-1.8502945850622623,2.56177077506025e-10
ENSG00000103855,CD276,5.182102921481738,1.68036958361995,2.7736143166828766e-10,1.6123580203015044,-1.68036958361995,2.7736143166828766e-10
ENSG00000105664,COMP,11.818471880217244,2.356088894110461,3.0076227074113696e-10,2.3033686004307206,-2.356088894110461,3.0076227074113696e-10
ENSG00000104687,GSR,8.254495957933361,1.6934112842759517,3.052406938177783e-10,2.548101514226485,-1.6934112842759517,3.052406938177783e-10
ENSG00000091136,LAMB1,3.6936991838229516,1.7680394685348317,3.3021986132451217e-10,1.0797040314519004,-1.7680394685348317,3.3021986132451217e-10
ENSG00000196878,LAMB3,5.673685807313998,1.6531913306963593,3.3534899340941125e-10,1.7995067190865006,-1.6531913306963593,3.3534899340941125e-10
ENSG00000213626,LBH,4.847553457512561,1.6498080665359942,3.571331767800223e-10,1.5403777515380446,-1.6498080665359942,3.571331767800223e-10
ENSG00000131747,TOP2A,4.765622976540518,1.6455233573182764,3.571331767800223e-10,1.5187836709090066,-1.6455233573182764,3.571331767800223e-10
ENSG00000077942,FBLN1,7.926774034045188,1.68883700502467,3.668716445476694e-10,2.454527164833987,-1.68883700502467,3.668716445476694e-10
ENSG00000117266,CDK18,1.1879919740946276,2.205581276896056,3.689828037305655e-10,0.2519309406721101,-2.205581276896056,3.689828037305655e-10
ENSG00000135916,ITM2C,4.738312816216504,1.6440651454097237,4.098268829386416e-10,1.5115856440326605,-1.6440651454097237,4.098268829386416e-10
