FeatureID,FeatureName,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value
ENSG00000115461,IGFBP5,40.83837142698179,1.6865863542540454,6.207569988253452e-19,12.684252296648156,-1.6865863542540454,6.207569988253452e-19
ENSG00000011465,DCN,45.889072054485226,1.6263139512023201,1.8110430054945638e-18,14.86176030190784,-1.6263139512023201,1.81104300549513e-18
ENSG00000164949,GEM,3.5571287596001198,1.7174214774986236,1.5123979951011478e-15,1.0780273622098433,-1.7174214774986236,1.5123979951011478e-15
ENSG00000186891,TNFRSF18,2.9924213749158275,1.65903083773391,1.3487403876710945e-14,0.9439443569598628,-1.65903083773391,1.3487403876710945e-14
ENSG00000186652,PRG2,2.0318910570416113,2.0615516653816095,2.7018573496497072e-14,0.4826988188999298,-2.0615516653816095,2.7018573496497072e-14
ENSG00000119681,LTBP2,3.6785144591116965,1.4814579891826376,7.554333154721309e-13,1.314013451449809,-1.4814579891826376,7.554333154721309e-13
ENSG00000188042,ARL4C,25.760156492000274,1.2315554183480502,1.5125870030808887e-12,10.967989829448404,-1.2315554183480502,1.5125870030808887e-12
ENSG00000107165,TYRP1,24.98962118205722,1.2712101849905242,5.8621815610958715e-12,10.351208005298496,-1.2712101849905242,5.8621815610958715e-12
ENSG00000186732,MPPED1,2.5965984417259036,1.4877048770534123,3.7749637988540456e-11,0.9224910761198659,-1.4877048770534123,3.7749637988540456e-11
ENSG00000142089,IFITM3,4.2168336482499935,1.3307266111543319,4.457745715223909e-11,1.6733559055197567,-1.3307266111543319,4.457745715223941e-11
ENSG00000172403,SYNPO2,1.7891196580184578,1.578925282392323,6.049297881793986e-11,0.5953285433099135,-1.578925282392323,6.049297881793986e-11
ENSG00000148053,NTRK2,2.9818660966974297,1.4562115939589315,9.762874368334523e-11,1.0833906824198425,-1.4562115939589315,9.762874368334523e-11
ENSG00000130592,LSP1,6.74482278155631,1.381810438358089,1.3308089100428335e-10,2.585120341219624,-1.381810438358089,1.3308089100428335e-10
ENSG00000120215,MLANA,9.420585809920198,1.1720753196838376,2.1256624856570732e-10,4.178026443589393,-1.1720753196838376,2.1256624856570732e-10
ENSG00000125851,PCSK2,2.934367344714639,1.4473710944733285,2.1417516874822618e-10,1.072664041999844,-1.4473710944733285,2.1417516874822618e-10
ENSG00000134802,SLC43A3,2.6599301110362914,1.497597227314085,2.228926013226117e-10,0.9385810367498635,-1.497597227314085,2.228926013226117e-10
ENSG00000132589,FLOT2,4.412106295290356,1.2388898546529168,2.2933712168731023e-10,1.8664354330797286,-1.2388898546529168,2.2933712168731023e-10
ENSG00000109193,SULT1E1,1.683566875834478,1.7138548624784313,2.532349147602145e-10,0.5095154199499259,-1.7138548624784313,2.532349147602145e-10
ENSG00000157168,NRG1,2.5174338550879187,1.4101505262099765,2.569466338578752e-10,0.9439443569598628,-1.4101505262099765,2.569466338578752e-10
ENSG00000185565,LSAMP,1.2719110253169568,1.7460053860821378,3.8935185844475183e-10,0.3754324146999454,-1.7460053860821378,3.8935185844475183e-10
ENSG00000078401,EDN1,2.6229866372718984,1.4530754231160499,4.843791743971902e-10,0.9546709973798612,-1.4530754231160499,4.843791743971902e-10
ENSG00000019144,PHLDB1,4.121836144284412,1.2659859707322147,7.715106831112507e-10,1.7108991469897512,-1.2659859707322147,7.715106831112507e-10
ENSG00000151914,DST,76.19855345861502,1.008711371238653,8.697194044254409e-10,37.87040400280449,-1.008711371238653,8.697194044251904e-10
ENSG00000213145,CRIP1,14.935718679033144,1.0831382180383078,1.3582658187431517e-09,7.047402755938975,-1.0831382180383078,1.3582658187430743e-09
ENSG00000101160,CTSZ,3.747123767531283,1.2411416523026908,1.3739682109505811e-09,1.58217946194977,-1.2411416523026908,1.3739682109505811e-09
ENSG00000144857,BOC,7.430915865752179,1.1109156774995586,1.4116962774485473e-09,3.4378882546095,-1.1109156774995586,1.4116962774485525e-09
ENSG00000186340,THBS2,24.451301992918925,1.1010057156459419,1.4116962774485473e-09,11.397055446248343,-1.1010057156459419,1.4116962774485525e-09
ENSG00000162772,ATF3,5.54152106465894,1.2562130075476785,1.5595195089515576e-09,2.316954330719663,-1.2562130075476785,1.5595195089515576e-09
ENSG00000185664,PMEL,16.592897359321626,1.0731520388240465,1.999191870184643e-09,7.884080708698853,-1.0731520388240465,1.9991918701850976e-09
ENSG00000105722,ERF,8.79254675592552,1.0707489191566628,2.0327205338750658e-09,4.183389763799392,-1.0707489191566628,2.0327205338750658e-09
ENSG00000105664,COMP,46.80738125948585,1.5892730773026544,3.3448175834667553e-09,15.55362860899774,-1.5892730773026544,3.3448175834667553e-09
ENSG00000140044,JDP2,5.757904268136099,1.0668313936250233,5.253085917349656e-09,2.7460199475196005,-1.0668313936250233,5.253085917349656e-09
ENSG00000141753,IGFBP4,4.807929228480281,1.4390918756697495,5.253085917349656e-09,1.7698956692997427,-1.4390918756697495,5.253085917349656e-09
ENSG00000084636,COL16A1,19.068110101535954,0.990526187025206,5.744648980938905e-09,9.594979855688605,-0.990526187025206,5.744648980938885e-09
ENSG00000090530,P3H2,3.1982493001745884,1.2168174253740291,5.744648980938905e-09,1.3730099737598003,-1.2168174253740291,5.744648980938885e-09
ENSG00000225950,NTF4,1.5252377025585082,1.3886140335502333,7.526370196792385e-09,0.5792385826799158,-1.3886140335502333,7.526370196792385e-09
ENSG00000119326,CTNNAL1,3.4093548645425478,1.1596930612526286,8.993982214763277e-09,1.5231829396397785,-1.1596930612526286,8.993982214763277e-09
ENSG00000164171,ITGA2,5.435968282474961,1.0858510776995847,9.327619032572017e-09,2.558303740169628,-1.0858510776995847,9.327619032572017e-09
ENSG00000103855,CD276,7.47841461773497,1.0758436787445236,1.0235859114664137e-08,3.5451546588094844,-1.0758436787445236,1.0235859114664137e-08
ENSG00000188153,COL4A5,11.568584927364187,0.992100037653977,1.0235859114664137e-08,5.813839107639154,-0.992100037653977,1.0235859114664137e-08
ENSG00000277586,NEFL,12.170235785812872,1.0678740293868807,1.1936123109438015e-08,5.803112467219156,-1.0678740293868807,1.193612310943496e-08
ENSG00000124067,SLC12A4,6.048174419142043,1.0744497538702775,1.2470943191202112e-08,2.8693763123495826,-1.0744497538702775,1.2470943191202112e-08
ENSG00000102265,TIMP1,3.5676840378185175,1.2454749716662958,1.2724209879471087e-08,1.5017296587997817,-1.2454749716662958,1.2724209879471087e-08
ENSG00000166265,CYYR1,3.7629566848588802,1.3069224128366428,1.2956664747658005e-08,1.5178196194297793,-1.3069224128366428,1.2956664747658005e-08
ENSG00000121690,DEPDC7,2.227163704081974,1.275138366730077,1.7464721718227388e-08,0.9171277559098666,-1.275138366730077,1.746472171822745e-08
ENSG00000185338,SOCS1,2.343271764484352,1.2431693336496732,1.8953391933968515e-08,0.9868509186398565,-1.2431693336496732,1.895339193396845e-08
ENSG00000104687,GSR,3.2140822175021855,1.1634655103047014,1.9207905905278845e-08,1.4320064960697918,-1.1634655103047014,1.9207905905278845e-08
ENSG00000177732,SOX12,3.382966668996553,1.123409665419594,2.0656314501653662e-08,1.5499995406897746,-1.123409665419594,2.0656314501653662e-08
ENSG00000176788,BASP1,5.694572598825711,1.0565253844254348,2.088483116588645e-08,2.735293307099602,-1.0565253844254348,2.088483116588645e-08
ENSG00000169604,ANTXR1,10.935268234260308,0.9915786538145857,2.3227072725661702e-08,5.497403215249201,-0.9915786538145857,2.3227072725661702e-08
ENSG00000053747,LAMA3,8.16450770193084,1.0242571159978846,2.3715988956895213e-08,4.011763517079417,-1.0242571159978846,2.3715988956895213e-08
ENSG00000170962,PDGFD,1.2560781079893597,1.648937385797093,2.547627066706726e-08,0.3968856955399423,-1.648937385797093,2.547627066706726e-08
ENSG00000142227,EMP3,3.1718611046285936,1.346322800417647,2.769026362619726e-08,1.244290288719819,-1.346322800417647,2.769026362619726e-08
ENSG00000102287,GABRE,12.903827621991532,0.9593023576253477,2.8658527771130418e-08,6.634427099769035,-0.9593023576253477,2.8658527771128793e-08
ENSG00000078900,TP73,7.810905881614506,1.0093993065178677,3.0508816354393383e-08,3.877680511829436,-1.0093993065178677,3.050881635439328e-08
ENSG00000171603,CLSTN1,18.054803392569745,0.937793957658235,3.453369403943125e-08,9.423353608968629,-0.937793957658235,3.453369403943125e-08
ENSG00000213398,LCAT,1.5780140936504983,1.398353036750502,3.523937287479494e-08,0.5953285433099135,-1.398353036750502,3.523937287479494e-08
ENSG00000197565,COL4A6,4.649600055204311,1.0576205404250822,3.667140128156563e-08,2.2311412073596757,-1.0576205404250822,3.667140128156563e-08
ENSG00000050165,DKK3,5.045422988394235,1.1277203237091524,3.8469357755980475e-08,2.306227690299665,-1.1277203237091524,3.8469357755980475e-08
ENSG00000120885,CLU,1.2349675515525638,1.8992099044903497,3.8522215942636595e-08,0.32716253280995244,-1.8992099044903497,3.8522215942636595e-08
ENSG00000132386,SERPINF1,3.2615809694849762,1.279141313575718,4.0681019700616905e-08,1.3408300524998051,-1.279141313575718,4.0681019700616905e-08
ENSG00000106665,CLIP2,2.9449226229330367,1.1206001664611054,4.135728827493143e-08,1.3515566929198035,-1.1206001664611054,4.135728827493143e-08
ENSG00000086205,FOLH1,1.2982992208629518,1.40169454383989,5.1534278873807426e-08,0.488062139109929,-1.40169454383989,5.1534278873807426e-08
ENSG00000204262,COL5A2,5.942621636958063,1.0598786329832568,5.270420011466336e-08,2.847923031509586,-1.0598786329832568,5.2704200114662987e-08
ENSG00000130635,COL5A1,11.806078687278141,0.9538670503963713,5.542427461141665e-08,6.092731758559114,-0.9538670503963713,5.54242746114261e-08
ENSG00000114270,COL7A1,39.445074702153256,0.9025992118902062,6.050394595148455e-08,21.09930170613693,-0.9025992118902062,6.050394595148455e-08
ENSG00000175356,SCUBE2,0.9235868441098234,1.681433384786054,6.586789296408701e-08,0.28425597112995865,-1.681433384786054,6.586789296408701e-08
ENSG00000132561,MATN2,6.502051382533156,1.0088321608149795,6.90799214410271e-08,3.2287187664195307,-1.0088321608149795,6.90799214410271e-08
ENSG00000135821,GLUL,7.731741294976521,1.033079209159881,7.262396846387163e-08,3.775777427839451,-1.033079209159881,7.262396846387163e-08
ENSG00000115363,EVA1A,1.0819160173857931,1.4154622820518579,7.533729587787014e-08,0.4022490157499415,-1.4154622820518579,7.533729587787014e-08
ENSG00000106819,ASPN,0.7230365579602617,1.8000115062281459,7.974560613160553e-08,0.20380616797997037,-1.8000115062281459,7.974560613160553e-08
ENSG00000154175,ABI3BP,2.19549786942678,1.2378493459081608,8.720919813771573e-08,0.9278543963298651,-1.2378493459081608,8.720919813771573e-08
ENSG00000101825,MXRA5,3.0663083224446135,1.0849490141696783,9.113601310063315e-08,1.4427331364897902,-1.0849490141696783,9.113601310063348e-08
