FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSG00000244617,ASPRV1,0.7274944281146034,5.743716772707208,2.8569120681327817e-82,0.01256305320262681,-5.743716772707208,2.8569120681327817e-82
ENSG00000159516,SPRR2G,0.8319551665105465,4.592407449432243,8.039089796238415e-77,0.033501475207004826,-4.592407449432243,8.039089796238415e-77
ENSG00000143631,FLG,2.8204399366904624,4.203771577838807,2.2097472848979276e-71,0.15180355953174063,-4.203771577838807,2.2097472848979276e-71
ENSG00000167768,KRT1,3.290513259472206,2.3725422909086076,9.614773650894634e-61,0.633387265632435,-2.3725422909086076,9.614773650894634e-61
ENSG00000189001,SBSN,1.4475273749152109,2.840615954451204,9.614773650894634e-61,0.20100885124202897,-2.840615954451204,9.614773650894634e-61
ENSG00000203782,LOR,0.7834555379695729,4.380620833997965,3.380215563335031e-58,0.03664223850766153,-4.380620833997965,3.380215563335031e-58
ENSG00000105427,CNFN,1.428873671630221,3.556428152326676,1.375646827057212e-57,0.1203959265251736,-3.556428152326676,1.375646827057212e-57
ENSG00000204539,CDSN,0.4626118414677478,4.547303417951594,5.480477432625426e-48,0.018844579803940217,-4.547303417951594,5.480477432625426e-48
ENSG00000188508,KRTDAP,2.3578280952227146,2.347605776770002,8.918299413735238e-48,0.4616922051965353,-2.347605776770002,8.918299413735238e-48
ENSG00000178372,CALML5,2.1302529151458387,2.57992704737378,1.2595552593877884e-46,0.3549062529742074,-2.57992704737378,1.2595552593877884e-46
ENSG00000163202,LCE3D,0.4103814722697763,4.623862513083198,4.274881321255111e-44,0.015703816503283514,-4.623862513083198,4.274881321255111e-44
ENSG00000169469,SPRR1B,1.772101812074034,2.2364243762179843,2.672862709456796e-43,0.3747977538783665,-2.2364243762179843,2.672862709456796e-43
ENSG00000105141,CASP14,0.5745340611776868,3.4617148622326046,5.188875013053825e-43,0.051299133910726144,-3.4617148622326046,5.188875013053825e-43
ENSG00000186395,KRT10,2.88013178720243,2.1131584689984115,4.851739439278912e-38,0.6637479775387831,-2.1131584689984115,4.851739439278912e-38
ENSG00000143520,FLG2,0.3506896217578088,4.698862536922947,8.624520976268692e-32,0.01256305320262681,-4.698862536922947,8.624520976268692e-32
ENSG00000175315,CST6,0.2760748086178495,4.473302836507817,2.8993037304586147e-30,0.01151613210240791,-4.473302836507817,2.8993037304586147e-30
ENSG00000163220,S100A9,8.12555315094157,1.5762668291705917,6.075028649225074e-30,2.7178071761682667,-1.5762668291705917,6.075028649225074e-30
ENSG00000203785,SPRR2E,0.2984592525598373,3.8473685547303544,4.838668718868832e-28,0.019891500904159115,-3.8473685547303544,4.838668718868832e-28
ENSG00000188505,NCCRP1,0.27234406796085153,4.038900012362042,1.2219047622590847e-26,0.015703816503283514,-4.038900012362042,1.2219047622590847e-26
ENSG00000211592,IGKC,0.6901870215446237,2.8928720268747257,8.496062949988821e-26,0.09212905681926328,-2.8928720268747257,8.496062949988821e-26
ENSG00000197084,LCE1C,0.17907555153590238,5.4441564908483,1.2359342976753304e-23,0.0031407633006567026,-5.4441564908483,1.2359342976753304e-23
ENSG00000171476,HOPX,0.42530443489776815,3.389534478815219,6.204437057609415e-23,0.03978300180831823,-3.389534478815219,6.204437057609415e-23
ENSG00000143546,S100A8,10.479650505507287,1.2971163750692152,1.5067285133668614e-22,4.253640430189394,-1.2971163750692152,1.5067285133675465e-22
ENSG00000172867,KRT2,0.7610710940275851,2.0577156344062093,1.6526076241597883e-22,0.18216427143808875,-2.0577156344062093,1.6526076241597883e-22
ENSG00000163207,IVL,0.4849962854097356,2.3871362173041444,5.22603581287435e-22,0.09212905681926328,-2.3871362173041444,5.22603581287435e-22
ENSG00000057149,SERPINB3,0.2536903646758617,3.4144091474542484,2.7019470961320705e-21,0.02303226420481582,-3.4144091474542484,2.7019470961320705e-21
ENSG00000133710,SPINK5,0.328305177815821,3.0957267120705403,1.3800196808373112e-20,0.03768915960788043,-3.0957267120705403,1.3800196808373112e-20
ENSG00000283227,SPRR5,0.23503666139087187,3.370015028095795,1.4222455346161556e-19,0.02198534310459692,-3.370015028095795,1.4222455346161556e-19
ENSG00000167754,KLK5,0.21638295810588204,3.4641621826513473,9.530763046072058e-19,0.018844579803940217,-3.4641621826513473,9.530763046072058e-19
ENSG00000126233,SLURP1,0.25742110533285967,4.05183906806954,3.918929870766249e-18,0.014656895403064613,-4.05183906806954,3.918929870766249e-18
ENSG00000121552,CSTA,0.9103007203075038,2.5469160652735012,1.7638308925818186e-16,0.15494432283239734,-2.5469160652735012,1.7638308925818186e-16
ENSG00000124102,PI3,0.29099777124584136,2.6413742985805206,1.8852198251067427e-16,0.04606452840963164,-2.6413742985805206,1.8852198251067427e-16
ENSG00000161249,DMKN,0.8953777576795119,1.53776483871385,3.3882261641032067e-16,0.30779480346435684,-1.53776483871385,3.3882261641032067e-16
ENSG00000167914,GSDMA,0.14176814496592272,4.307493943537736,8.082772610907105e-16,0.006281526601313405,-4.307493943537736,8.082772610907105e-16
ENSG00000167759,KLK13,0.13803740430892475,4.270019238119073,2.689731572763324e-15,0.006281526601313405,-4.270019238119073,2.689731572763324e-15
ENSG00000169583,CLIC3,0.13430666365192678,4.231545090304437,8.79089157347723e-15,0.006281526601313405,-4.231545090304437,8.79089157347723e-15
ENSG00000186832,KRT16,3.745663619625958,1.136202429996204,8.79089157347723e-15,1.700199866755495,-1.136202429996204,8.79089157347723e-15
ENSG00000169509,CRCT1,0.15669110759391458,3.555271683294098,2.6349201848311812e-14,0.01256305320262681,-3.555271683294098,2.6349201848311812e-14
ENSG00000283992,SLURP2,0.14922962627991865,3.60203615063002,7.377646342990584e-14,0.01151613210240791,-3.60203615063002,7.377646342990584e-14
ENSG00000118520,ARG1,0.10446073839594305,5.1024651411395086,1.4150293598908245e-13,0.0020938422004378016,-5.1024651411395086,1.4150293598908245e-13
