FeatureID,FeatureName,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value
ENSG00000159516,SPRR2G,86.15506209446065,3.315777191773145,9.513736860753574e-49,8.651785046355648,-3.315777191773145,9.51373686075141e-49
ENSG00000283227,SPRR5,20.62379201025279,3.825009350773775,2.2159025621967863e-48,1.4525137775167742,-3.825009350773775,2.2159025621967863e-48
ENSG00000204539,CDSN,32.92687725726005,3.27843705006139,2.66666767169497e-47,3.3914197832845785,-3.27843705006139,2.6666676716954253e-47
ENSG00000168703,WFDC12,14.520926281890626,3.582617473133747,1.592667409073555e-44,1.2093176633912592,-3.582617473133747,1.592667409073555e-44
ENSG00000163202,LCE3D,27.079565228390628,3.544328201834513,1.423324490844412e-41,2.3186917182377864,-3.544328201834513,1.423324490844412e-41
ENSG00000169509,CRCT1,19.409911937662308,3.382291608089305,3.957744008869265e-40,1.8589511189320185,-3.382291608089305,3.957744008869265e-40
ENSG00000105427,CNFN,164.47922868303684,2.7762531482648845,1.8198174242679257e-39,24.013117679680985,-2.7762531482648845,1.8198174242679257e-39
ENSG00000187180,LCE2C,6.495323195440286,3.780378074433539,9.999538522465804e-38,0.4697349601602412,-3.780378074433539,9.999538522465804e-38
ENSG00000185966,LCE3E,6.814765319806202,3.8194471057461254,1.5388154688229604e-37,0.47972932101471444,-3.8194471057461254,1.5388154688229604e-37
ENSG00000203785,SPRR2E,19.58940798849649,2.965768180580718,1.365899393548963e-36,2.50525312085462,-2.965768180580718,1.365899393548963e-36
ENSG00000170423,KRT78,6.84214607332328,2.999513999161188,6.945236427861043e-35,0.8528521262483812,-2.999513999161188,6.945236427861043e-35
ENSG00000160862,AZGP1,5.975088878615795,3.5809241689007547,2.138544978959646e-34,0.49638658910550315,-3.5809241689007547,2.138544978959646e-34
ENSG00000148346,LCN2,13.288792373622094,2.965337171757263,5.255526607703513e-34,1.699041345260447,-2.965337171757263,5.255526607703513e-34
ENSG00000163216,SPRR2D,43.92177094734024,2.6290208281691068,8.45228259872038e-34,7.099327660294142,-2.6290208281691068,8.452282598719178e-34
ENSG00000203786,KPRP,5.56741988180596,3.2899928231621063,1.615788213920395e-33,0.5663471150868157,-3.2899928231621063,1.615788213920395e-33
ENSG00000167755,KLK6,8.777052655196828,2.946432331855967,3.663343934132213e-33,1.136025683791789,-2.946432331855967,3.663343934132213e-33
ENSG00000179477,ALOX12B,7.414099591235587,2.6573872995996988,1.953078119976855e-32,1.1726716735915241,-2.6573872995996988,1.953078119976855e-32
ENSG00000197632,SERPINB2,8.780094961143169,2.885004390457549,9.544602255888419e-32,1.185997488064155,-2.885004390457549,9.544602255888419e-32
ENSG00000268104,SLC6A14,2.345617884629724,3.1764840806564987,2.6860435708223344e-31,0.25652192859814593,-3.1764840806564987,2.68604357082264e-31
ENSG00000204421,LY6G6C,8.962633317923693,2.5679121200837516,3.0650445788862793e-31,1.5091484890254558,-2.5679121200837516,3.0650445788862793e-31
ENSG00000108244,KRT23,5.308823876366885,2.9457801483807815,4.959073173552756e-31,0.6862794453404942,-2.9457801483807815,4.959073173552756e-31
ENSG00000167914,GSDMA,12.865911847080548,2.4667225648825424,6.233900135412122e-31,2.3253546254741018,-2.4667225648825424,6.233900135412122e-31
